datasetname,kl_supp,avg_supp,wkl_supp,kl_usg,avg_usg,wkl_usg,wacc_supp,wacc_usg,wkl_sum,jacc_avg,n_rules,avg_items,nrows_train,std_rules,top1_std,runtime,
cholesterol , 2.2726 , 18.0000 , 40.9072 , 2.2726,          18.0000 , 40.9072 , 1541.6970 , 1541.6970  ,          40.9072 , 0 , 1.0000  , 5.0000 ,          297.0000 , 77.5220,  77.5220 , 159.4221
baseball , 1.4757 , 57.6250 , 84.5015 , 0.1547,          8.5000 , 10.5222 , 99848.6881 , 13582.8854  ,          84.1778 , 0.8887 , 8.0000  , 5.0000 ,          337.0000 , 130.8752,  1047.0014 , 1256.6196
autoMPG8 , 1.7305 , 80.6000 , 138.0078 , 0.4245,          11.4000 , 18.6783 , 867.4490 , 104.2965  ,          186.7834 , 0.8715 , 10.0000  , 5.0000 ,          392.0000 , 1.0019,  4.2128 , 40.8966
dee , 1.4930 , 112.3750 , 167.7184 , 0.4020,          14.3750 , 22.1631 , 127.5710 , 16.3223  ,          177.3045 , 0.9603 , 8.0000  , 5.0000 ,          365.0000 , 0.0912,  0.4573 , 56.8416
ele-1 , 1.2563 , 105.5556 , 130.7062 , 0.3748,          12.7778 , 15.6946 , 158653.3479 , 18429.5275  ,          141.2511 , 0.8750 , 9.0000  , 3.0000 ,          495.0000 , 154.4065,  1224.6393 , 2.6067
forestFires , 57.2907 , 5.0000 , 286.4537 , 2.6344,          0.6087 , 12.9380 , 1844.8027 , 90.5009  ,          297.5733 , 0.3001 , 23.0000  , 5.0000 ,          517.0000 , 22.4003,  434.9025 , 877.2338
concrete , 1.2547 , 178.1053 , 221.9930 , 0.2340,          12.8947 , 13.6916 , 3781.3037 , 239.9872  ,          260.1397 , 0.7971 , 19.0000  , 5.0000 ,          1030.0000 , 2.0762,  13.0591 , 278.0913
treasury , 3.6146 , 124.0645 , 447.6220 , 0.1106,          4.1935 , 14.3733 , 913.8561 , 30.1947  ,          445.5708 , 0.9419 , 31.0000  , 5.0000 ,          1049.0000 , 0.0764,  2.3669 , 5731.8490
wizmir , 1.9353 , 500.2273 , 965.2529 , 0.5004,          25.1818 , 51.3567 , 8334.6495 , 399.2814  ,          1129.8482 , 0.9065 , 22.0000  , 4.6000 ,          1461.0000 , 0.6173,  4.4618 , 582.1018
abalone , 0.8496 , 1092.0000 , 922.7749 , 0.1173,          47.0400 , 38.4313 , 3090.1834 , 129.0005  ,          960.7835 , 0.9153 , 25.0000  , 5.0000 ,          4177.0000 , 0.2780,  1.9152 , 7.3916
puma32h , 1.7312 , 1267.5238 , 2193.6921 , 0.2230,          64.5714 , 108.0576 , 54.5048 , 2.7085  ,          4538.4192 , 0.8893 , 42.0000  , 5.0000 ,          8192.0000 , 0.0018,  0.0180 , 39.4524
ailerons , 1.8549 , 1740.9474 , 3229.2503 , 0.1662,          93.4737 , 171.3599 , 1.1334 , 0.0602  ,          3255.8387 , 0.9887 , 19.0000  , 2.2500 ,          13750.0000 , 0.0001,  0.0005 , 47.6619
elevators , 3.2133 , 1180.0142 , 3733.2631 , 0.0810,          11.4965 , 29.1265 , 15.8423 , 0.1315  ,          4106.8318 , 0.8487 , 141.0000  , 4.0000 ,          16599.0000 , 0.0004,  0.0097 , 20.2988
bikesharing , 1.4680 , 2165.7244 , 3030.0858 , 0.0865,          48.7165 , 36.7820 , 542077.1034 , 7829.7632  ,          4671.3117 , 0.5519 , 127.0000  , 4.9524 ,          17379.0000 , 20.1306,  196.9911 , 17.9152
california , 1.4427 , 2719.7055 , 3906.3940 , 0.0212,          19.4479 , 24.5914 , 440117147.9354 , 2908796.9689  ,          4008.4009 , 0.9294 , 163.0000  , 4.3333 ,          20640.0000 , 1305.7889,  104212.7218 , 18.8405
house , 1.3680 , 2777.3786 , 3724.5358 , 0.0273,          14.7643 , 15.2679 , 168602847.0259 , 733186.5893  ,          4275.0017 , 0.7555 , 280.0000  , 4.9333 ,          22784.0000 , 2422.4197,  83977.1095 , 40.5795
